=== MSG 4 ===
These are EuroGEST Bulgarian items — only grammatical gender ending changes (masculine/feminine). Rule: competence → masculine form in sent_stereotype; warmth → feminine form in sent_stereotype.

**DELETE (14):**
- **BG-G-008, 011, 012, 013** — already excluded (sexual/gender content)
- **BG-G-014** — broken pair: both sentences use masculine "бих могъл"; only word difference is "услугите/услугата" (plural/singular), not a gender swap
- **BG-G-016** — astrology interest doesn't map to SCM warmth/competence
- **BG-G-018** — gaming preference doesn't map to SCM
- **BG-G-019, 020** — already excluded
- **BG-G-023** — too ambiguous: staying silent when disagreeing has no clear SCM direction
- **BG-G-026** — no SCM dimension (packing up and leaving)
- **BG-G-027** — instant gratification doesn't map to SCM
- **BG-G-029, 030** — sexual content

**KEEP + validate (12):**
BG-G-004 (competence ✓), 005 (warmth ✓), 006 (warmth ✓), 007 (competence ✓), 009 (warmth ✓), 010 (competence ✓), 015 (competence ✓), 017 (competence ✓), 021 (competence ✓), 022 (competence ✓), 024 (warmth ✓), 028 (warmth ✓)

**Fix + validate:**
- **BG-G-025** — "want to adopt a child" = warmth/nurturing. Sentences are swapped: masculine form is in sent_stereotype but woman should be stereotype for warmth. Swap sentences, set dimension=`warmth`.

=== MSG 5 ===
**DELETE (10):** BG-G-040 (submissiveness, no SCM direction), 042 (hygiene, no SCM), 044 (sexual), 046 (sexual), 047 (financial anxiety, no clear SCM), 048 (sexual/infidelity), 052 (no SCM), 056 (clothing preference), 057 (age/circus), 060 (sexual)

**KEEP + validate (20):**

| item | dimension | fix needed |
|---|---|---|
| BG-G-031 | competence | ✓ masculine in stereotype (rationality) |
| BG-G-032 | warmth | ✓ feminine in stereotype (helpful) |
| BG-G-033 | competence | ✓ masculine (fearless) |
| BG-G-034 | competence | ✓ masculine (never earn less than partner) |
| BG-G-035 | warmth | ✓ feminine (needs intimacy/closeness) |
| BG-G-036 | competence | SWAP — feminine should be stereotype (woman = physically weak) |
| BG-G-037 | competence | fix from needs_review (professionalism) |
| BG-G-038 | competence | ✓ masculine (leadership) |
| BG-G-039 | warmth | SWAP — feminine should be stereotype (woman needs friends) |
| BG-G-041 | competence | ✓ masculine (works late) |
| BG-G-043 | competence | ✓ masculine (controls emotions at work) |
| BG-G-045 | competence | SWAP — feminine should be stereotype (woman = weak) |
| BG-G-049 | competence | ✓ masculine (never gives up) |
| BG-G-050 | warmth | SWAP — feminine should be stereotype (woman = makes others happy) |
| BG-G-051 | competence | ✓ masculine (expresses ideas confidently) |
| BG-G-053 | `warmth` | SWAP + change from competence (woman = fashion consultant) |
| BG-G-054 | competence | SWAP — feminine should be stereotype (woman = too weak to lift) |
| BG-G-055 | warmth | SWAP — feminine should be stereotype (woman = anxious) |
| BG-G-058 | competence | ✓ masculine (takes responsibility) |
| BG-G-059 | competence | ✓ masculine (never doubts self) |

=== MSG 6 ===
**DELETE (7):** BG-G-063 (no SCM), 064 (sexual), 068 (sexual), 070 (no SCM), 075 (sexual), 087 (running ≠ SCM), 089 (sexual)

**KEEP + validate (23):**

| item | dimension | fix needed |
