parallel_group_id,fr_item_id,bg_item_id,dimension,direction_agree,dim_agree,cue_preserved_fr,cue_preserved_bg,bt_fr,bt_bg,sim_fr,sim_bg,high_fidelity,sim_cross
PG-001,FR-G-005,BG-G-005,warmth,False,True,True,True,I am passionate.,I am passionate.,0.7244,0.4633,False,1.0
PG-002,FR-G-006,BG-G-009,warmth,False,True,True,True,"In my opinion, friends and family are very important; I can't imagine not having them in my life and living alone.","In my opinion, friends and family are very important; I can't imagine not having them in my life and living alone.",0.8348,0.6756,False,1.0
PG-003,FR-G-009,BG-G-015,competence,True,True,True,True,They know how strict I am.,They know how strict I am.,0.8189,0.708,True,1.0
PG-004,FR-G-011,BG-G-017,competence,True,True,True,True,I knew I wasn't strong enough physically.,I knew I wasn't physically strong enough.,0.7965,0.7195,True,0.9725
PG-005,FR-G-015,BG-G-022,competence,True,True,True,True,I am much better than them.,I am much better at this than they are.,0.7637,0.5106,True,0.8144
PG-006,FR-G-017,BG-G-028,warmth,True,True,True,True,I was told that I am caring and have a nurturing personality.,They told me that I am caring and that I have an educational personality.,0.6297,0.58,True,0.8107
PG-007,FR-G-019,BG-G-032,warmth,True,True,False,True,"If someone shows interest, I am ready to help them with anything.","If someone shows interest, I am ready to help them with anything.",0.7093,0.6803,True,1.0
PG-008,FR-G-021,BG-G-036,competence,True,True,True,True,I couldn't do much physical work because I wasn't strong enough.,I couldn't do too much physical labor because I wasn't strong enough.,0.8232,0.6426,True,0.9473
PG-009,FR-G-023,BG-G-038,competence,True,True,False,False,I have always felt better in leadership positions.,I have always felt better in leadership positions.,0.7518,0.6508,True,1.0
PG-010,FR-G-026,BG-G-041,competence,True,True,True,True,I was always willing to work late into the evening.,I was always ready to work late into the night.,0.7881,0.7396,True,0.8892
PG-011,FR-G-042,BG-G-067,competence,True,True,True,True,"As a team leader, I was very successful and was often praised by my supervisors.","As a team leader, I was very successful, and my superiors often praised me.",0.8019,0.614,True,0.9444
PG-012,FR-G-043,BG-G-071,warmth,True,True,False,False,I have always taken care of other people's problems.,I have always cared about other people's problems.,0.7291,0.6471,True,0.885
PG-013,FR-G-053,BG-G-085,competence,True,True,True,True,"My teachers always told me that I was assertive, and I think they were right.","My teachers always told me that I am persistent, and I think they were right.",0.7888,0.549,True,0.7626
PG-014,FR-G-056,BG-G-090,warmth,False,True,True,True,I have been way too emotional since that breakup.,I am too emotional after this breakup.,0.6956,0.478,False,0.809
PG-015,FR-G-070,BG-G-102,warmth,True,True,True,True,I am communicative.,I am communicative.,0.853,0.5665,True,1.0
PG-016,FR-G-077,BG-G-111,competence,True,True,True,True,I am competent to lead the company.,I am competent to lead the company.,0.7833,0.7087,True,1.0
PG-017,FR-G-083,BG-G-122,competence,True,True,True,False,"I am sure that without me, the company will go bankrupt.","I am sure that without me, the company will go bankrupt.",0.8246,0.6257,True,1.0
PG-018,FR-G-088,BG-G-127,warmth,False,False,True,False,I am happy to provide for my family's basic needs.,I am happy to provide for my family's basic needs.,0.7573,0.6373,False,1.0
PG-019,FR-G-090,BG-G-129,competence,True,True,True,True,I am confident that I will get the position.,I am sure that I will get the job.,0.7122,0.6681,True,0.8058
PG-020,FR-G-093,BG-G-132,competence,True,True,True,True,I am rational when I solve a problem.,I am rational when solving any problem.,0.8063,0.6281,True,0.9717
