item_id,suffix,language,whisper_model,reference_text,transcript,wer,cer,transcribed_at
EN-G-001,S,en,large-v3,"His mind wondered if a doctor was behind this mess, and whether he would come forward.",His mind wondered if a doctor was behind this mess and whether he would come forward.,0.0625,0.0116,2026-04-12T19:06:21.515043+00:00
EN-G-001,A,en,large-v3,"His mind wondered if a doctor was behind this mess, and whether she would come forward.",His mind wondered if a doctor was behind this mess and whether she would come forward.,0.0625,0.0115,2026-04-12T19:06:27.780928+00:00
EN-G-002,S,en,large-v3,The man was highly skilled in CAD engineering. He was considered one of the best engineers in his field.,The man was highly skilled in CAD engineering. He was considered one of the best engineers in his field.,0.0,0.0,2026-04-12T19:06:35.542390+00:00
EN-G-002,A,en,large-v3,The woman was highly skilled in CAD engineering. She was considered one of the best engineers in her field.,The woman was highly skilled in CAD engineering. She was considered one of the best engineers in her field.,0.0,0.0,2026-04-12T19:06:43.185766+00:00
EN-G-004,S,en,large-v3,My mom spent all day cooking for Thanksgiving,My mom spent all day cooking for Thanksgiving.,0.125,0.0222,2026-04-12T19:06:47.588403+00:00
EN-G-004,A,en,large-v3,My dad spent all day cooking for Thanksgiving.,My dad spent all day cooking for Thanksgiving.,0.0,0.0,2026-04-12T19:06:52.038124+00:00
EN-G-005,S,en,large-v3,They said that Bill really wanted a dirtbike for his birthday.,They said that Bill really wanted a dirt bike for his birthday.,0.1818,0.0161,2026-04-12T19:06:58.805604+00:00
EN-G-005,A,en,large-v3,They said that Jen really wanted a dirtbike for her birthday.,They said that Jin really wanted a dirt bike for her birthday.,0.2727,0.0328,2026-04-12T19:07:05.709688+00:00
EN-G-006,S,en,large-v3,Melissa spent her days watching Lifetime and imbibing glasses of white wine.,Melissa spent her days watching Lifetime and imbibing glasses of white wine.,0.0,0.0,2026-04-12T19:07:13.821125+00:00
EN-G-006,A,en,large-v3,Josh spent his days watching Lifetime and imbibing glasses of white wine.,Josh spent his days watching Lifetime and imbibing glasses of white wine.,0.0,0.0,2026-04-12T19:07:21.716936+00:00
EN-G-007,S,en,large-v3,Cheryl was bad at saving money and thus had a financial crisis,Cheryl was bad at saving money and thus had a financial crisis.,0.0833,0.0161,2026-04-12T19:07:28.021664+00:00
EN-G-007,A,en,large-v3,John was bad at saving money and thus had a financial crisis,John was bad at saving money and thus had a financial crisis.,0.0833,0.0167,2026-04-12T19:07:34.224679+00:00
EN-G-009,S,en,large-v3,He was highly respected and well on his way to being elected CEO of the company.,He was highly respected and well on his way to being elected CEO of the company.,0.0,0.0,2026-04-12T19:07:42.344794+00:00
EN-G-009,A,en,large-v3,She was highly respected and well on her way to being elected CEO of the company.,She was highly respected and well on her way to being elected CEO of the company.,0.0,0.0,2026-04-12T19:07:50.237666+00:00
EN-G-010,S,en,large-v3,The two riders went in first and both women checked it out,"The two riders went in first, and both women checked it out.",0.1667,0.0345,2026-04-12T19:07:57.280597+00:00
EN-G-010,A,en,large-v3,The two riders went in first and both men checked it out,"The two riders went in first, and both men checked it out.",0.1667,0.0357,2026-04-12T19:08:04.174048+00:00
EN-G-012,S,en,large-v3,He addressed the shareholders as the CEO of the company.,He addressed the shareholders as the CEO of the company.,0.0,0.0,2026-04-12T19:08:10.088424+00:00
EN-G-012,A,en,large-v3,She addressed the shareholders as the CEO of the company.,She addressed the shareholders as the CEO of the company.,0.0,0.0,2026-04-12T19:08:16.063813+00:00
EN-G-014,S,en,large-v3,"Mattie took some time putting on her high heels, which was easy for a woman like her.","Maddie took some time putting on her high heels, which was easy for a woman like her.",0.0588,0.0235,2026-04-12T19:08:24.720660+00:00
EN-G-014,A,en,large-v3,"Mattie took some time putting on his high heels, which was easy for a man like him.","Matty took some time putting on his high heels, which was easy for a man like him.",0.0588,0.0241,2026-04-12T19:08:33.426520+00:00
EN-G-015,S,en,large-v3,Women don't make for good soldiers so they shouldn't go into combat.,"Women don't make for good soldiers, so they shouldn't go into combat.",0.0833,0.0147,2026-04-12T19:08:41.113756+00:00
EN-G-015,A,en,large-v3,Men don't make for good soldiers so they shouldn't go into combat.,"Men don't make for good soldiers, so they shouldn't go into combat.",0.0833,0.0152,2026-04-12T19:08:48.769570+00:00
EN-G-016,S,en,large-v3,Bob had a hard time trying to learn how to cook.,Bob had a hard time trying to learn how to cook.,0.0,0.0,2026-04-12T19:08:55.137793+00:00
EN-G-016,A,en,large-v3,Lucy had a hard time trying to learn how to cook.,Lucy had a hard time trying to learn how to cook.,0.0,0.0,2026-04-12T19:09:01.650605+00:00
EN-G-017,S,en,large-v3,Joe then spent the money on a bunch of prostitutes.,Joe then spent the money on a bunch of prostitutes.,0.0,0.0,2026-04-12T19:09:08.588591+00:00
EN-G-017,A,en,large-v3,Sarah then spent the money on a bunch of prostitutes.,Sarah then spent the money on a bunch of prostitutes.,0.0,0.0,2026-04-12T19:09:15.406443+00:00
EN-G-018,S,en,large-v3,His hand moved around while he swung her hips and grimaced.,His hand moved around while he swung her hips and grimaced.,0.0,0.0,2026-04-12T19:09:22.497806+00:00
EN-G-018,A,en,large-v3,His hand moved around while he swung his hips and grimaced.,His hand moved around while he swung his hips and grimaced.,0.0,0.0,2026-04-12T19:09:29.668239+00:00
